RAM,brand,capacity,color,depth,display_size,fingerprint,generation/release,graphics_card,height,item_title,operating_system,operating_system_architecture,price,touch_display,weight,width
16 GB RAM,Apple,256 GB SSD,Space Gray,21.24 cm ( 8.36 in ),"15.4""",NA,2019,Radeon Pro 555X GDDR5 (4 GB),1.49 cm ( .59 in ),MacBook Pro (Retina + Touch Bar),macOS Mojave,Not Specified,10799.0,No,1.37 kg ( 3.02 lb ),30.41 cm ( 11.97 in )
8 GB RAM,Apple,256 GB SSD,Space Gray,21.24 cm ( 8.36 in ),"13.3""",NA,2019,Intel Iris Plus Graphics 655,1.49 cm ( .59 in ),MacBook Pro (Retina + Touch Bar),macOS Mojave,Not Specified,7999.0,No,1.37 kg ( 3.02 lb ),30.41 cm ( 11.97 in )
8 GB RAM,Apple,512 GB SSD,Space Gray,21.24 cm ( 8.36 in ),"13.3""",NA,2019,Intel Iris Plus Graphics 655,1.49 cm ( .59 in ),MacBook Pro (Retina + Touch Bar),macOS Mojave,Not Specified,8699.0,No,1.37 kg ( 3.02 lb ),30.41 cm ( 11.97 in )
8 GB RAM,Asus,128 GB SSD/1 TB HDD,Slate Grey,21.20 cm ( 8.35 in ),"14""",NA,2019,NVIDIA GeForce MX230 (2 GB),1.90 cm ( .75 in ),VivoBook 14 X412FJ,Windows 10,64 bit,3099.0,No,1.50 kg ( 3.31 lb ),32.20 cm ( 12.68 in )
8 GB RAM,Apple,256 GB SSD,Space Gray,21.24 cm ( 8.36 in ),"13.3""",NA,2019,Intel Iris Plus Graphics 645,1.49 cm ( .59 in ),MacBook Pro (Retina + Touch Bar),macOS Mojave,Not Specified,6499.0,No,1.37 kg ( 3.02 lb ),30.41 cm ( 11.97 in )
8 GB RAM,Asus,128 GB M.2 SSD/1 TB HDD,Slate Grey,23.00 cm ( 9.06 in ),"15.6""",NA,2019,NVIDIA GeForce MX230 (2 GB),1.99 cm ( .78 in ),VivoBook 15 X512FJ,Windows 10,64 bit,3299.0,No,1.75 kg ( 3.86 lb ),35.70 cm ( 14.06 in )
8 GB RAM,Asus,1 TB HDD,Silver,23.50 cm ( 9.25 in ),"15.6""",NA,2019,NVIDIA GeForce MX110 (2 GB),2.29 cm ( .90 in ),X509FB,Windows 10,64 bit,2599.0,No,1.90 kg ( 4.19 lb ),36.00 cm ( 14.17 in )
8 GB RAM,Asus,512 GB NVMe M.2 SSD,Transparent Silver,1.78 cm ( .70 in ),"14""",NA,2019,NVIDIA GeForce MX250 (2 GB),1.80 cm ( .71 in ),VivoBook S14 S431,Windows 10,64 bit,3199.0,No,1.40 kg ( 3.09 lb ),32.30 cm ( 12.72 in )
4 GB RAM,Dell,64 GB (eMMC),Silver,24.19 cm ( 9.52 in ),"14""",NA,2019,Intel HD Graphics 600,1.99 cm ( .78 in ),Inspiron 14 3482,Windows 10,64 bit,1099.0,No,1.79 kg ( 3.95 lb ),33.90 cm ( 13.35 in )
4 GB RAM,HP,1 TB HDD,Smoke Grey,2.25 cm ( .89 in ),"15.6""",NA,2019,Intel UHD Graphics 620,37.60 cm ( 14.80 in ),15-da1017nx,Windows 10,64 bit,1799.0,No,3.10 kg ( 6.83 lb ),26.60 cm ( 10.47 in )
32 GB RAM,MSI,256 GB SSD (Super Raid)/1 TB HDD,Black,339.00 mm ( 13.35 in ),"18.4""",NA,2017,NVIDIA GeForce GTX 1080 (8 GB) SLI,46.00 mm ( 1.81 in ),GT83VR 7RF Titan SLI,Windows 10,64-bit,0.0,NA,5.50 kg ( 12.13 lb ),458.00 mm ( 18.03 in )
32 GB RAM,Asus,256 GB SSD/1 TB HDD,Grey,32.20 cm ( 12.68 in ),"17.3""",NA,2018,NVIDIA GeForce GTX 1070 (8 GB),4.90 cm ( 1.93 in ),ROG G752VS,Windows 10,64-bit,0.0,NA,4.30 kg ( 9.48 lb ),41.60 cm ( 16.38 in )
32 GB RAM,Acer,256 GB SSD/1 TB HDD,Black,321.50 mm ( 12.66 in ),"17.3""",NA,2018,NVIDIA GeForce GTX 980M (8 GB),44.95 mm ( 1.77 in ),Predator 17 GX791 78ND,Windows 10,64-bit,0.0,NA,4.55 kg ( 10.03 lb ),423.00 mm ( 16.65 in )
16 GB RAM,Apple,512 GB SSD,Silver,24.71 cm ( 9.73 in ),"15.4""",NA,2018,AMD Radeon R9-M370X (2 GB),1.80 cm ( .71 in ),MacBook Pro (Retina),Mac OSX Mavericks,NA,10199.0,NA,2.02 kg ( 4.45 lb ),35.89 cm ( 14.13 in )
32 GB RAM,Dell,256 GB SSD/1 TB HDD,Black,270.00 mm ( 10.63 in ),"15.6""",NA,2018,NVIDIA GeForce GTX 1080 (8 GB),34.00 mm ( 1.34 in ),Alienware 15,Windows 10,64-bit,6999.0,NA,3.22 kg ( 7.10 lb ),386.00 mm ( 15.20 in )
32 GB RAM,Dell,1 TB HDD,Silver,235.00 mm ( 9.25 in ),"15.6""",NA,2018,NVIDIA GeForce GTX 1050 (4 GB),11.00 mm ( .43 in ),XPS 15,Windows 10,64-bit,0.0,Yes,2.00 kg ( 4.41 lb ),357.00 mm ( 14.06 in )
16 GB RAM,HP,1 TB PCIe NVMe M.2 SSD,Natural Silver,22.60 cm ( 8.90 in ),"13.3""",NA,2016,Intel HD Graphics 620,1.29 cm ( .51 in ),ENVY 13-ab002nx,Windows 10,64 bit,5349.0,No,1.36 kg ( 3.00 lb ),32.65 cm ( 12.85 in )
8 GB RAM,HP,512 GB PCIe NVMe M.2 SSD,Silk Gold,21.56 cm ( 8.49 in ),"13.3""",NA,2017,Intel Graphics 620,1.39 cm ( .55 in ),ENVY 13-ad002nx,Windows 10,64 bit,5349.0,No,1.23 kg ( 2.71 lb ),30.54 cm ( 12.02 in )
8 GB RAM,HP,512 GB PCIe NVMe M.2 SSD,Natural Silver,1.49 cm ( .59 in ),"13.3""",Yes,2018,NVIDIA GeForce MX150 (2 GB),21.20 cm ( 8.35 in ),ENVY 13-ah0001nx,Windows 10,64 bit,3939.0,No,1.30 kg ( 2.87 lb ),30.70 cm ( 12.09 in )
8 GB RAM,HP,1 TB HDD,Pale Gold/Ash Silver,2.25 cm ( .89 in ),"15.6""",NA,2018,NVIDIA GeForce MX130 (4 GB),24.60 cm ( 9.69 in ),15-da1019nx,Windows 10,64 bit,3149.0,No,2.04 kg ( 4.50 lb ),37.60 cm ( 14.80 in )
8 GB RAM,Lenovo,128 GB M.2 SSD/1 TB HDD,Onyx Black,2.29 cm ( .90 in ),"15.6""",NA,2019,AMD Radeon 530 (4 GB),26.00 cm ( 10.24 in ),IdeaPad 330,Windows 10,64 bit,2549.0,No,2.20 kg ( 4.85 lb ),37.80 cm ( 14.88 in )
8 GB RAM,Lenovo,2 TB HDD,Gray,260.00 mm ( 10.24 in ),"15.6""",NA,2018,AMD Radeon 530M (4 GB),22.90 mm ( .90 in ),IdeaPad 330-15IKBR,Windows 10,64 bit,2599.0,No,2.20 kg ( 4.85 lb ),378.00 mm ( 14.88 in )
4 GB RAM,Lenovo,1 TB HDD,Platinum Grey,24.40 cm ( 9.61 in ),"15.6""",NA,2018,Intel HD Graphics 620,1.94 cm ( .76 in ),IdeaPad 330S-15IKB,Windows 10,64 bit,2519.0,No,1.80 kg ( 3.97 lb ),35.80 cm ( 14.09 in )
4 GB RAM,HP,500 GB HDD,Jet Black,25.38 cm ( 9.99 in ),"15.6""",NA,2018,Intel GMA HD,2.38 cm ( .94 in ),15-bs150nx,Windows 10,64 bit,0.0,No,2.10 kg ( 4.63 lb ),38.00 cm ( 14.96 in )
4 GB RAM,Dell,1 TB HDD,Grey,260.30 mm ( 10.25 in ),"15.6""",NA,2017,Intel GMA HD,23.66 mm ( .93 in ),Inspiron 3567,Windows 10,64-bit,0.0,NA,2.25 kg ( 4.96 lb ),380.00 mm ( 14.96 in )
4 GB RAM,Lenovo,2 TB HDD,Platinum Grey,26.00 cm ( 10.24 in ),"15.6""",NA,2018,Intel HD Graphics 620,2.29 cm ( .90 in ),IdeaPad 330,Windows 10,64 bit,1439.0,No,2.20 kg ( 4.85 lb ),37.80 cm ( 14.88 in )
8 GB RAM,HP,1 TB HDD,Jet Black,2.25 cm ( .89 in ),"15.6""",NA,2019,NVIDIA GeForce MX110 (2 GB),37.60 cm ( 14.80 in ),15-da1010nx,Windows 10,64 bit,2199.0,No,1.86 kg ( 4.10 lb ),24.60 cm ( 9.69 in )
8 GB RAM,HP,1 TB HDD,Smoke Grey,2.25 cm ( .89 in ),"15.6""",NA,2019,NVIDIA GeForce MX110 (2 GB),37.60 cm ( 14.80 in ),15-da1011nx,Windows 10,64 bit,2199.0,No,1.86 kg ( 4.10 lb ),24.60 cm ( 9.69 in )
8 GB RAM,Lenovo,512 GB NVMe M.2 SSD,Copper,211.00 mm ( 8.31 in ),"13.3""",NA,2019,NVIDIA GeForce MX150 (2 GB),14.80 mm ( .58 in ),Ideapad S530,Windows 10,64 bit,3599.0,No,1.25 kg ( 2.76 lb ),308.30 mm ( 12.14 in )
4 GB RAM,HP,1 TB HDD,Dark Grey,2.25 cm ( .89 in ),"15.6""",NA,2019,Intel UHD Graphics 620,34.60 cm ( 13.62 in ),15-da1006nx,Windows 10,64 bit,1849.0,No,3.10 kg ( 6.83 lb ),24.60 cm ( 9.69 in )
8 GB RAM,HP,128 GB M.2 SSD/1 TB HDD,Natural Silver,1.99 cm ( .78 in ),"14""",NA,2018,AMD Radeon 530 (2 GB),22.59 cm ( 8.89 in ),14-cf1001nx,Windows 10,64 bit,2799.0,No,1.51 kg ( 3.33 lb ),32.40 cm ( 12.76 in )
8 GB RAM,Lenovo,128 GB M.2 SSD/1 TB HDD,Abyss Blue,1.79 cm ( .70 in ),"15.6""",NA,2019,NVIDIA GeForce MX230 (2 GB),24.50 cm ( 9.65 in ),IdeaPad S340,Windows 10 S,64 bit,2299.0,No,1.80 kg ( 3.97 lb ),35.80 cm ( 14.09 in )
4 GB RAM,Lenovo,1 TB HDD,Abyss Blue,1.79 cm ( .70 in ),"14""",NA,2019,Intel GMA HD,23.05 cm ( 9.07 in ),IdeaPad S340,Windows 10,64 bit,1849.0,No,1.60 kg ( 3.53 lb ),32.27 cm ( 12.70 in )
