RAM,brand,capacity,color,depth,display_size,fingerprint,generation/release,graphics_card,height,item_title,operating_system,operating_system_architecture,price,touch_display,weight,width
8 GB RAM,Huawei,512 GB SSD,Grey,21.10 cm ( 8.31 in ),"13""",Yes,2019,NVIDIA GeForce MX150 (2 GB),1.49 cm ( .59 in ),MateBook 13,Windows 10,64 bit,4999.0,Yes,1.30 kg ( 2.87 lb ),28.60 cm ( 11.26 in )
4 GB RAM,Acer,500 GB HDD,Black,259.00 mm ( 10.20 in ),"15.6""",NA,2018,Intel HD Graphics 520,21.60 mm ( .85 in ),Aspire A315-51,Windows 10,64 bit,0.0,No,2.10 kg ( 4.63 lb ),381.60 mm ( 15.02 in )
8 GB RAM,HP,1 TB HDD,Natural Silver,2.25 cm ( .89 in ),"15.6""",NA,2018,NVIDIA GeForce MX130 (4 GB),24.60 cm ( 9.69 in ),15-da1003nx,Windows 10,64 bit,3149.0,No,2.04 kg ( 4.50 lb ),37.60 cm ( 14.80 in )
8 GB RAM,Asus,1 TB HDD,Grey,21.20 cm ( 8.35 in ),"14""",NA,2019,NVIDIA GeForce MX110 (2 GB),1.90 cm ( .75 in ),VivoBook 14 X412UB,Windows 10,64 bit,2799.0,No,1.50 kg ( 3.31 lb ),32.20 cm ( 12.68 in )
4 GB RAM,Asus,1 TB HDD,Chocolate Black,25.20 cm ( 9.92 in ),"15.6""",NA,2018,NVIDIA GeForce MX110 (2 GB),2.72 cm ( 1.07 in ),X540UB,Windows 10,64 bit,1999.0,No,2.00 kg ( 4.41 lb ),38.10 cm ( 15.00 in )
8 GB RAM,Asus,512 GB SSD,Royal Blue,19.90 cm ( 7.83 in ),"14""",Yes,2018,NVIDIA GeForce MX150 (2 GB),1.59 cm ( .63 in ),ZenBook 14 UX433FN,Windows 10,64 bit,4899.0,No,1.09 kg ( 2.40 lb ),31.90 cm ( 12.56 in )
8 GB RAM,Dell,1 TB HDD,Black,259.00 mm ( 10.20 in ),"15.6""",NA,2017,AMD Radeon R7-M445 (4 GB),23.30 mm ( .92 in ),Inspiron 15 5567,Windows 10,64 bit,4099.0,No,2.30 kg ( 5.07 lb ),390.00 mm ( 15.35 in )
8 GB RAM,Apple,128 GB (PCIe SSD),Space Gray,21.24 cm ( 8.36 in ),"13.3""",Yes,2018,Intel UHD Graphics 617,1.56 cm ( .61 in ),MacBook Air (Retina),macOS Mojave,Not Specified,5199.0,No,1.25 kg ( 2.76 lb ),30.41 cm ( 11.97 in )
4 GB RAM,Acer,500 GB HDD,Black,259.00 mm ( 10.20 in ),"15.6""",NA,2018,Intel GMA HD,20.95 mm ( .82 in ),Aspire 3 A315-33-C6S9,Windows 10,64 bit,1369.0,No,2.10 kg ( 4.63 lb ),381.60 mm ( 15.02 in )
8 GB RAM,Acer,1 TB HDD,Black,289.91 mm ( 11.41 in ),"15.6""",NA,2018,NVIDIA GeForce MX130 (2 GB),28.25 mm ( 1.11 in ),Aspire 5 A515-52G-75XJ,Windows 10,64 bit,3199.0,No,2.20 kg ( 4.85 lb ),423.32 mm ( 16.67 in )
